{'nome': 'Ágatha Almeida', 'vaga': 'QA', 'idade': '26 ', 'estado': 'SC' },
{'nome': 'Ágatha Santos', 'vaga': 'Android', 'idade': '26 ', 'estado': 'SC' },
{'nome': 'Ágatha Sousa', 'vaga': 'Android', 'idade': '28 ', 'estado': 'SC' },
{'nome': 'Ágatha Souza', 'vaga': 'QA', 'idade': '23 ', 'estado': 'SC' },
{'nome': 'Alex Santos', 'vaga': 'QA', 'idade': '21 ', 'estado': 'SC' },
{'nome': 'Alex Sousa', 'vaga': 'QA', 'idade': '18 ', 'estado': 'SC' },
{'nome': 'Alice Gomes', 'vaga': 'Android', 'idade': '27 ', 'estado': 'SC' },
{'nome': 'Alice Lima', 'vaga': 'Android', 'idade': '22 ', 'estado': 'SC' },
{'nome': 'Aline Cunha', 'vaga': 'iOS', 'idade': '24 ', 'estado': 'SC' },
{'nome': 'Aline Fernandes', 'vaga': 'Android', 'idade': '20 ', 'estado': 'SC' },
{'nome': 'Aline Martins', 'vaga': 'iOS', 'idade': '33 ', 'estado': 'SC' },
{'nome': 'Amanda Cardoso', 'vaga': 'Android', 'idade': '22 ', 'estado': 'SC' },
{'nome': 'Amanda Pinto', 'vaga': 'Android', 'idade': '29 ', 'estado': 'SC' },
{'nome': 'Ana Castro', 'vaga': 'Android', 'idade': '19 ', 'estado': 'SC' },
{'nome': 'Ana Correia', 'vaga': 'QA', 'idade': '24 ', 'estado': 'SC' },
{'nome': 'André Melo', 'vaga': 'Android', 'idade': '23 ', 'estado': 'SC' },
{'nome': 'André Souza', 'vaga': 'iOS', 'idade': '26 ', 'estado': 'SC' },
{'nome': 'Anna Almeida', 'vaga': 'QA', 'idade': '26 ', 'estado': 'SC' },
{'nome': 'Anna Carvalho', 'vaga': 'QA', 'idade': '17 ', 'estado': 'SC' },
{'nome': 'Anna Costa', 'vaga': 'Android', 'idade': '30 ', 'estado': 'GO' },
{'nome': 'Anna Costa', 'vaga': 'iOS', 'idade': '18 ', 'estado': 'SC' },
{'nome': 'Anna Santos', 'vaga': 'iOS', 'idade': '32 ', 'estado': 'SC' },
{'nome': 'Antônio Cavalcanti', 'vaga': 'Android', 'idade': '23 ', 'estado': 'SC' },
{'nome': 'Antônio Ribeiro', 'vaga': 'QA', 'idade': '24 ', 'estado': 'SC' },
{'nome': 'Arthur Barbosa', 'vaga': 'Android', 'idade': '28 ', 'estado': 'SC' },
{'nome': 'Arthur Cardoso', 'vaga': 'Android', 'idade': '29 ', 'estado': 'SP' },
{'nome': 'Arthur Fernandes', 'vaga': 'Android', 'idade': '26 ', 'estado': 'SC' },
{'nome': 'Arthur Goncalves', 'vaga': 'Android', 'idade': '20 ', 'estado': 'SC' },
{'nome': 'Arthur Oliveira', 'vaga': 'QA', 'idade': '41 ', 'estado': 'SC' },
{'nome': 'Beatrice Araujo', 'vaga': 'Android', 'idade': '20 ', 'estado': 'SC' },
{'nome': 'Beatrice Pereira', 'vaga': 'Android', 'idade': '21 ', 'estado': 'SC' },
{'nome': 'Beatriz Alves', 'vaga': 'iOS', 'idade': '28 ', 'estado': 'SC' },
{'nome': 'Beatriz Rodrigues', 'vaga': 'QA', 'idade': '18 ', 'estado': 'SC' },
{'nome': 'Bianca Azevedo', 'vaga': 'Android', 'idade': '20 ', 'estado': 'SC' },
{'nome': 'Bianca Castro', 'vaga': 'Android', 'idade': '22 ', 'estado': 'SC' },
{'nome': 'Bianca Cunha', 'vaga': 'Android', 'idade': '35 ', 'estado': 'SC' },
{'nome': 'Brenda Gomes', 'vaga': 'Android', 'idade': '17 ', 'estado': 'SC' },
{'nome': 'Brenda Sousa', 'vaga': 'Android', 'idade': '50 ', 'estado': 'SC' },
{'nome': 'Breno Pereira', 'vaga': 'Android', 'idade': '19 ', 'estado': 'SC' },
{'nome': 'Bruna Martins', 'vaga': 'Android', 'idade': '19 ', 'estado': 'SC' },
{'nome': 'Caio Melo', 'vaga': 'Android', 'idade': '17 ', 'estado': 'SC' },
{'nome': 'Camila Barros', 'vaga': 'Android', 'idade': '18 ', 'estado': 'SC' },
{'nome': 'Camila Cardoso', 'vaga': 'Android', 'idade': '22 ', 'estado': 'SC' },
{'nome': 'Camila Lima', 'vaga': 'QA', 'idade': '18 ', 'estado': 'SC' },
{'nome': 'Carla Barros', 'vaga': 'Android', 'idade': '28 ', 'estado': 'SC' },
{'nome': 'Carlos Martins', 'vaga': 'QA', 'idade': '28 ', 'estado': 'SC' },
{'nome': 'Carlos Martins', 'vaga': 'QA', 'idade': '24 ', 'estado': 'SC' },
{'nome': 'Carolina Goncalves', 'vaga': 'Android', 'idade': '22 ', 'estado': 'SC' },
{'nome': 'Carolina Sousa', 'vaga': 'QA', 'idade': '20 ', 'estado': 'SC' },
{'nome': 'Clara Lima', 'vaga': 'QA', 'idade': '23 ', 'estado': 'SC' },
{'nome': 'Daniel Melo', 'vaga': 'iOS', 'idade': '55 ', 'estado': 'SC' },
{'nome': 'Daniel Pinto', 'vaga': 'Android', 'idade': '27 ', 'estado': 'SC' },
{'nome': 'Danilo Conrado', 'vaga': 'iOS', 'idade': '27 ', 'estado': 'SC' },
{'nome': 'Danilo Correia', 'vaga': 'QA', 'idade': '47 ', 'estado': 'SC' },
{'nome': 'Davi Barros', 'vaga': 'Android', 'idade': '20 ', 'estado': 'SC' },
{'nome': 'Davi Ferreira', 'vaga': 'QA', 'idade': '33 ', 'estado': 'SC' },
{'nome': 'Diego Barbosa', 'vaga': 'iOS', 'idade': '25 ', 'estado': 'RJ' },
{'nome': 'Diego Castro', 'vaga': 'Android', 'idade': '22 ', 'estado': 'SC' },
{'nome': 'Diego Pereira', 'vaga': 'Android', 'idade': '28 ', 'estado': 'SC' },
{'nome': 'Douglas Barros', 'vaga': 'QA', 'idade': '30 ', 'estado': 'SC' },
{'nome': 'Eduarda Barros', 'vaga': 'Android', 'idade': '21 ', 'estado': 'SC' },
{'nome': 'Eduarda Silva', 'vaga': 'iOS', 'idade': '24 ', 'estado': 'SC' },
{'nome': 'Eduardo Oliveira', 'vaga': 'Android', 'idade': '28 ', 'estado': 'SC' },
{'nome': 'Eduardo Souza', 'vaga': 'iOS', 'idade': '27 ', 'estado': 'SC' },
{'nome': 'Emilly Barros', 'vaga': 'Android', 'idade': '37 ', 'estado': 'SC' },
{'nome': 'Emilly Fernandes', 'vaga': 'Android', 'idade': '24 ', 'estado': 'SC' },
{'nome': 'Emilly Pereira', 'vaga': 'iOS', 'idade': '21 ', 'estado': 'SC' },
{'nome': 'Emilly Sousa', 'vaga': 'Android', 'idade': '19 ', 'estado': 'SP' },
{'nome': 'Emily Cunha', 'vaga': 'QA', 'idade': '35 ', 'estado': 'SC' },
{'nome': 'Emily Ferreira', 'vaga': 'Android', 'idade': '22 ', 'estado': 'SC' },
{'nome': 'Enzo Barros', 'vaga': 'QA', 'idade': '24 ', 'estado': 'SC' },
{'nome': 'Enzo Barros', 'vaga': 'Android', 'idade': '24 ', 'estado': 'SC' },
{'nome': 'Erick Santos', 'vaga': 'QA', 'idade': '18 ', 'estado': 'SC' },
{'nome': 'Estevan Alves', 'vaga': 'Android', 'idade': '30 ', 'estado': 'PR' },
{'nome': 'Estevan Castro', 'vaga': 'Android', 'idade': '23 ', 'estado': 'SC' },
{'nome': 'Estevan Cavalcanti', 'vaga': 'iOS', 'idade': '26 ', 'estado': 'SP' },
{'nome': 'Estevan Rocha', 'vaga': 'QA', 'idade': '21 ', 'estado': 'SC' },
{'nome': 'Estevan Rodrigues', 'vaga': 'Android', 'idade': '19 ', 'estado': 'SC' },
{'nome': 'Evelyn Carvalho', 'vaga': 'QA', 'idade': '24 ', 'estado': 'SC' },
{'nome': 'Evelyn Rodrigues', 'vaga': 'QA', 'idade': '18 ', 'estado': 'SC' },
{'nome': 'Felipe Fernandes', 'vaga': 'Android', 'idade': '22 ', 'estado': 'SP' },
{'nome': 'Fernanda Almeida', 'vaga': 'QA', 'idade': '26 ', 'estado': 'SC' },
{'nome': 'Fernanda Barbosa', 'vaga': 'Android', 'idade': '31 ', 'estado': 'SC' },
{'nome': 'Fernanda Goncalves', 'vaga': 'QA', 'idade': '24 ', 'estado': 'SC' },
{'nome': 'Fernanda Ribeiro', 'vaga': 'QA', 'idade': '46 ', 'estado': 'SC' },
{'nome': 'Fernanda Santos', 'vaga': 'QA', 'idade': '19 ', 'estado': 'SC' },
{'nome': 'Fernandu Vieira', 'vaga': 'QA', 'idade': '29 ', 'estado': 'SC' },
{'nome': 'Gabriel Costa', 'vaga': 'Android', 'idade': '20 ', 'estado': 'SC' },
{'nome': 'Gabriela Correia', 'vaga': 'QA', 'idade': '27 ', 'estado': 'SC' },
{'nome': 'Gabrielle Costa', 'vaga': 'QA', 'idade': '28 ', 'estado': 'SC' },
{'nome': 'Gabrielle Rocha', 'vaga': 'Android', 'idade': '20 ', 'estado': 'SC' },
{'nome': 'Gabrielle Rodrigues', 'vaga': 'Android', 'idade': '18 ', 'estado': 'SC' },
{'nome': 'Gabrielly Azevedo', 'vaga': 'iOS', 'idade': '25 ', 'estado': 'SC' },
{'nome': 'Gabrielly Cardoso', 'vaga': 'QA', 'idade': '40 ', 'estado': 'SC' },
{'nome': 'Gabrielly Cunha', 'vaga': 'iOS', 'idade': '22 ', 'estado': 'SC' },
{'nome': 'Gabrielly Cunha', 'vaga': 'QA', 'idade': '20 ', 'estado': 'SC' },
